id	rate
Albania	83800
Anguilla	17500
Argentina	5900
Armenia	275000
Austria	97300
Bahamas	20000
Bahrain	159100
Barbados	20800
Belarus	110000
Belgium	75300
Belize	7500
Benin	30300
Bolivia	5800
Federation of Bosnia and Herzegovina	67800
Brazil	12000
Bulgaria	86100
C™te d'Ivoire	40400
Cameroon	31300
Canada	81200
Chile	20800
Colombia	3500
Croatia	99400
Cyprus	111700
Czech Republic	113600
Denmark	89000
Dominica	57500
Dominican Republic	8200
Ecuador	7000
El Salvador	24000
France	87300
Gabon	92200
The Gambia	23000
Germany	91700
Gibraltar	92400
Greece	97700
Grenada	36900
Guatemala	13300
Guinea	20000
Guyana	5000
Haiti	10000
Hong Kong	138300
Hungary	75000
Iceland	131000
Iran	126300
Ireland	97700
Israel	113000
Italy	94700
Japan	251600
Jordan	126300
Kenya	31300
Latvia	125600
Lebanon	80000
Liechtenstein	1133700
Lithuania	84500
Luxembourg	119200
Macao	310000
Mali	62700
Malta	89300
Montenegro	111700
Namibia	70800
Netherlands	58700
Nicaragua	13500
Nigeria	32500
Pakistan	140500
Panama	2000
Paraguay	20000
Peru	4500
Philippines	138400
Poland	66900
Portugal	61000
Russia	169900
Saint Lucia	9300
Saint Vincent and the Grenadines	1800
Saudi Arabia	213700
Slovenia	97700
South Africa	32700
Spain	82300
Sri Lanka	145500
Swaziland	35400
Sweden	124600
Switzerland	102000
Macedonia	72900
Togo	2500
Trinidad and Tobago	63900
Turks and Caicos Islands	20000
Ukraine	189600
Uruguay	12900
Venezuela (Bolivarian Republic of)	9300
Zambia	37800
Northern Ireland	64300
England	64300
Scotland	64300
Wales	64300
